PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
1079,108410,108410,sysbench,17,17,0,2,0.322756959,0.110726644,0
1080,108410,108410,sysbench,8,8,0,1,0,0,0
1082,108410,108411,sysbench,2,2,0,1,0,0,0
1082,108410,108418,sysbench,2,2,0,1,0,0,0
1082,108410,108413,sysbench,2,2,0,1,0,0,0
1082,108410,108425,sysbench,2,2,0,1,0,0,0
1082,108410,108421,sysbench,2,2,0,1,0,0,0
1082,108410,108419,sysbench,2,2,0,1,0,0,0
1082,108410,108416,sysbench,2,2,0,1,0,0,0
1082,108410,108424,sysbench,2,2,0,1,0,0,0
1082,108410,108415,sysbench,2,2,0,1,0,0,0
1082,108410,108414,sysbench,2,6,4,1,0,0,0
1082,108410,108427,sysbench,2,2,0,1,0,0,0
1082,108410,108431,sysbench,2,2,0,1,0,0,0
1082,108410,108422,sysbench,2,2,0,1,0,0,0
1083,108410,108428,sysbench,2,2,0,1,0,0,0
1083,108410,108417,sysbench,2,2,0,1,0,0,0
1083,108410,108434,sysbench,2,2,0,1,0,0,0
1083,108410,108412,sysbench,2,2,0,1,0,0,0
1083,108410,108423,sysbench,2,2,0,1,0,0,0
1084,108410,108426,sysbench,2,2,0,1,0,0,0
1084,108410,108420,sysbench,2,2,0,1,0,0,0
1087,108410,108433,sysbench,1,1,0,1,0,0,0
1087,108410,108430,sysbench,2,2,0,1,0,0,0
1088,108410,108433,sysbench,1,1,0,1,0,0,0
1088,108410,108432,sysbench,1,1,0,1,0,0,0
1088,108410,108429,sysbench,1,1,0,1,0,0,0
1089,108410,108432,sysbench,1,1,0,1,0,0,0
1089,108410,108429,sysbench,1,1,0,1,0,0,0
