PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
58,45345,45345,postgres,1,1,0,1,0,0,0
204,45344,45344,postgres,1,1,0,1,0,0,0
222,45344,45344,postgres,1,1,0,1,0,0,0
407,880,880,postgres,1,1,0,1,0,0,0
523,45345,45345,postgres,1,1,0,1,0,0,0
576,45468,45468,pgbench,13,21,8,4,1.352030102,0.485207101,0
578,45469,45469,postgres,6,9,3,4,1.918295834,0.722222222,0
578,45468,45468,pgbench,6,18,12,2,0.650022422,0.277777778,0
578,45341,45341,postgres,2,2,0,2,1,0.5,0
579,45468,45468,pgbench,2,2,0,1,0,0,0
724,45468,45468,pgbench,6,10,4,2,0.650022422,0.277777778,0
724,45470,45470,postgres,6,9,3,4,1.918295834,0.722222222,0
724,45341,45341,postgres,2,2,0,2,1,0.5,0
725,45347,45347,postgres,1,1,0,1,0,0,0
726,45347,45347,postgres,7,16,9,3,1.448815636,0.612244898,0
727,45468,45472,pgbench,2,3,1,2,1,0.5,0
727,45468,45471,pgbench,5,5,0,3,1.370950594,0.56,0
727,45347,45347,postgres,1,2,1,1,0,0,0
727,45468,45468,pgbench,6,6,0,2,0.650022422,0.277777778,0
727,45470,45470,postgres,5,8,3,2,0.721928095,0.32,0
728,45468,45491,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45468,45500,pgbench,2,3,1,2,1,0.5,0
728,45468,45493,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45468,45499,pgbench,2,5,3,2,1,0.5,0
728,45468,45502,pgbench,2,3,1,2,1,0.5,0
728,45504,45504,postgres,7,8,1,4,1.842370993,0.693877551,0
728,45468,45495,pgbench,2,3,1,2,1,0.5,0
728,45506,45506,postgres,7,8,1,4,1.842370993,0.693877551,0
728,45468,45472,pgbench,6,6,0,2,0.650022422,0.277777778,0
728,45468,45480,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45468,45488,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45468,45477,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45468,45474,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45468,45486,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45468,45471,pgbench,4,4,0,1,0,0,0
728,45468,45475,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45507,45507,postgres,5,6,1,4,1.921928095,0.72,0
728,45505,45505,postgres,6,9,3,4,1.918295834,0.722222222,0
728,45468,45494,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45468,45498,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45503,45503,postgres,6,7,1,4,1.918295834,0.722222222,0
728,45468,45490,pgbench,2,3,1,2,1,0.5,0
728,45468,45492,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45497,45497,postgres,7,8,1,4,1.842370993,0.693877551,0
728,45468,45496,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45468,45481,pgbench,8,9,1,3,1.061278124,0.40625,0
728,45468,45478,pgbench,2,5,3,2,1,0.5,0
728,45468,45468,pgbench,34,35,1,4,1.036839086,0.382352941,0
728,45341,45341,postgres,16,16,0,2,1,0.5,0
729,45468,45500,pgbench,6,6,0,2,0.650022422,0.277777778,0
729,45468,45485,pgbench,8,9,1,3,1.061278124,0.40625,0
729,45509,45509,postgres,6,7,1,4,1.918295834,0.722222222,0
729,45508,45508,postgres,6,8,2,4,1.918295834,0.722222222,0
729,45468,45499,pgbench,6,6,0,2,0.650022422,0.277777778,0
729,45504,45504,postgres,1,2,1,1,0,0,0
729,45468,45495,pgbench,6,6,0,2,0.650022422,0.277777778,0
729,45468,45487,pgbench,8,9,1,3,1.061278124,0.40625,0
729,45510,45510,postgres,6,7,1,4,1.918295834,0.722222222,0
729,45507,45507,postgres,2,4,2,1,0,0,0
729,45505,45505,postgres,1,1,0,1,0,0,0
729,45468,45476,pgbench,8,9,1,3,1.061278124,0.40625,0
