PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
284,4186,4186,poc,48,90,42,11,3.275693045,0.888888889,1
666,4186,4186,poc,2,2,0,2,1,0.5,1
667,4186,4186,poc,1013,1243,230,7,2.019904261,0.686604253,1
668,4186,4186,poc,1071,1078,7,6,1.028585857,0.483442179,1
669,4186,4186,poc,1695,3386,1691,5,0.275075918,0.076168342,1
670,4186,4186,poc,4117,6169,2052,5,0.878421087,0.391962143,1
671,4186,4186,poc,4720,6073,1353,6,1.015840402,0.484396888,1
672,4186,4186,poc,4262,6315,2053,5,0.875850626,0.390762998,1
673,4186,4186,poc,612,1924,1312,5,0.113974084,0.024590173,1
676,4186,4186,poc,690,690,0,3,1.025713202,0.502885948,1
677,4186,4186,poc,5209,7538,2329,6,0.923980415,0.420785148,1
678,4186,4186,poc,4991,9065,4074,5,0.4984182,0.175822311,1
679,4186,4186,poc,3371,7408,4037,5,0.082420899,0.018144143,1
680,4186,4186,poc,5970,8229,2259,6,0.942943373,0.434353117,1
681,4186,4186,poc,4729,8235,3506,5,0.611579814,0.233973155,1
682,4186,4186,poc,6866,10970,4104,5,0.775092041,0.328580554,1
683,4186,4186,poc,5808,9614,3806,6,0.866013865,0.383573857,1
684,4186,4186,poc,4665,8496,3831,6,0.495859476,0.172547153,1
685,4186,4186,poc,1809,3860,2051,5,0.08982669,0.019440272,1
688,4186,4186,poc,2566,2566,0,3,1.032904355,0.503874335,1
689,4186,4186,poc,1248,1248,0,3,1.027967252,0.503189719,1
692,4186,4186,poc,2,2,0,2,1,0.5,1
693,4186,4186,poc,6329,8530,2201,6,0.959063983,0.445613456,1
694,4186,4186,poc,4792,8331,3539,6,0.619552688,0.236382262,1
695,4186,4186,poc,6577,10681,4104,5,0.761630813,0.319962547,1
696,4186,4186,poc,5917,9807,3890,6,0.873634195,0.388910083,1
697,4186,4186,poc,5276,9381,4105,5,0.558559249,0.206327501,1
698,4186,4186,poc,7165,11135,3970,5,0.886113725,0.398452475,1
699,4186,4186,poc,5209,8304,3730,6,0.793590766,0.337440603,1
700,4186,4186,poc,6417,10521,4104,5,0.733173574,0.303120201,1
701,4186,4186,poc,6267,10063,3796,6,0.891098721,0.400375479,1
702,4186,4186,poc,4136,8239,4103,5,0.087622168,0.019182146,1
709,4186,4186,poc,1607,1607,0,3,1.031755252,0.503712561,1
710,4186,4186,poc,6428,9932,3504,5,0.862855151,0.382856414,1
712,4186,4186,poc,3952,3952,0,5,1.038459436,0.504277801,1
713,4186,4186,poc,5576,8399,2924,6,0.875962797,0.389688062,1
714,4186,4186,poc,7612,11716,4104,5,0.828329702,0.361557822,1
715,4186,4186,poc,5683,9665,4794,6,0.76836076,0.321818807,1
716,4186,4186,poc,7475,11555,4080,6,0.882329373,0.394928397,1
717,4186,4186,poc,5138,8235,3097,6,0.77422236,0.325977181,1
718,4186,4186,poc,3561,3561,0,5,1.038039896,0.504189943,1
721,4186,4186,poc,2503,2780,277,5,1.037004312,0.499168956,1
722,4186,4186,poc,6232,9543,3311,5,0.891868208,0.401860851,1
723,4186,4186,poc,5899,8816,3278,6,0.917092235,0.416745031,1
724,4186,4186,poc,4698,8237,3539,6,0.599826669,0.225576559,1
725,4186,4186,poc,5561,9665,4104,5,0.614643638,0.236142415,1
726,4186,4186,poc,6884,10746,3862,5,0.88940737,0.400331423,1
727,4186,4186,poc,5466,8405,3535,6,0.853208127,0.375044185,1
728,4186,4186,poc,6566,10670,4104,5,0.748056093,0.31219783,1
729,4186,4186,poc,5427,9916,4489,6,0.731756898,0.300967691,1
730,4186,4186,poc,8246,12350,4104,6,0.863347,0.382823791,1
731,4186,4186,poc,5270,9293,4023,5,0.580411632,0.217609403,1
732,4186,4186,poc,190,190,0,2,1,0.5,1
735,4186,4186,poc,4847,6985,2138,6,0.907313073,0.409240141,1
736,4186,4186,poc,7239,11343,4104,5,0.804493043,0.346453296,1
737,4186,4186,poc,4765,9247,4675,6,0.597259151,0.224588668,1
741,4186,4186,poc,2660,4709,2049,5,0.571727691,0.211630957,1
742,4186,4186,poc,1508,3520,2012,3,0.073600248,0.016842771,1
753,4186,4186,poc,6054,8234,2180,6,0.952940636,0.441200324,1
754,4186,4186,poc,6320,10425,4105,5,0.722274373,0.296938602,1
755,4186,4186,poc,279,1926,1647,3,0.080847976,0.018458136,1
757,4186,4186,poc,4116,4116,0,6,1.041905049,0.50459016,1
758,4186,4186,poc,2,2,0,2,1,0.5,1
759,4186,4186,poc,6181,8233,2052,6,0.966721796,0.450727175,1
760,4186,4186,poc,5675,7728,2053,5,0.950403536,0.440626333,1
761,4186,4186,poc,4846,8840,4245,6,0.625254597,0.239678681,1
762,4186,4186,poc,8134,12250,4116,6,0.864296355,0.383275693,1
763,4186,4186,poc,4350,8455,4105,5,0.24117599,0.065268231,1
768,4186,4186,poc,3776,3896,120,4,1.037782145,0.503960535,1
769,4186,4186,poc,5525,9630,4105,5,0.608358114,0.232684003,1
770,4186,4186,poc,6799,10954,4155,6,0.865048485,0.383441078,1
771,4186,4186,poc,6669,10774,4105,5,0.758384977,0.318164261,1
772,4186,4186,poc,5246,9812,4566,6,0.713457643,0.290470346,1
773,4186,4186,poc,8245,12349,4104,6,0.863400249,0.382854846,1
774,4186,4186,poc,5479,9574,4801,5,0.602567047,0.229478928,1
775,4186,4186,poc,6561,11011,4450,6,0.814897742,0.351759387,1
776,4186,4186,poc,6633,10738,4105,5,0.754385974,0.316094567,1
777,4186,4186,poc,5179,9848,4669,5,0.670086391,0.266342695,1
778,4186,4186,poc,8246,12350,4104,6,0.863347,0.382823791,1
779,4186,4186,poc,5007,8942,3935,5,0.547576284,0.199872616,1
780,4186,4186,poc,7436,11643,4207,6,0.861344958,0.38110207,1
781,4186,4186,poc,5852,9957,4105,5,0.661822081,0.262258642,1
782,4186,4186,poc,5898,10629,4731,6,0.738341725,0.304963995,1
783,4186,4186,poc,7989,12093,4104,5,0.849422985,0.37477511,1
784,4186,4186,poc,5599,9959,4944,5,0.613817521,0.235785059,1
785,4186,4186,poc,6308,10883,4575,6,0.790784444,0.336622575,1
786,4186,4186,poc,7151,11256,4105,5,0.797669974,0.34247949,1
787,4186,4186,poc,4941,9458,4630,6,0.639733505,0.247605517,1
788,4186,4186,poc,8117,12222,4105,6,0.866574546,0.384698548,1
789,4186,4186,poc,5490,9595,4105,5,0.601765381,0.229084324,1
790,4186,4186,poc,6530,10990,4460,6,0.813637235,0.350934621,1
791,4186,4186,poc,7133,11238,4105,5,0.796400727,0.341667683,1
792,4186,4186,poc,5201,10174,5087,6,0.578783044,0.215001929,1
793,4186,4186,poc,7199,11523,4324,6,0.843543932,0.369904572,1
794,4186,4186,poc,6867,10972,4105,5,0.775253995,0.328682241,1
795,4186,4186,poc,4978,9900,4922,6,0.5981361,0.225124464,1
796,4186,4186,poc,7961,12062,4101,6,0.870211401,0.387153524,1
797,4186,4186,poc,6740,10846,4773,5,0.764786029,0.322133314,1
798,4186,4186,poc,4,1511,1709,5,0.121737366,0.026069945,1
810,4186,4186,poc,3814,3814,0,3,1.031310145,0.503650476,1
814,4186,4186,poc,2,2,0,2,1,0.5,1
824,4186,4186,poc,297,297,0,4,1.058255374,0.506682992,1
825,4186,4186,poc,1917,1917,0,5,1.043006758,0.504669937,1
841,4186,4186,poc,5481,8629,3148,5,0.799047373,0.342303067,1
842,4186,4186,poc,6295,10038,3743,6,0.882403358,0.394633264,1
