PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
206,1550295,1550295,ab,6,10,4,3,1.251629167,0.5,0
207,1550295,1550295,ab,107,107,0,1,0,0,0
208,1550295,1550295,ab,139,139,0,1,0,0,0
209,1550295,1550295,ab,143,143,0,2,0.060122449,0.01388821,0
210,1550295,1550295,ab,152,152,0,2,0.057143858,0.01307133,0
211,1550295,1550295,ab,87,87,0,1,0,0,0
212,1550295,1550295,ab,93,93,0,1,0,0,0
213,1550295,1550295,ab,124,124,0,1,0,0,0
214,1550295,1550295,ab,243,243,0,1,0,0,0
215,1550295,1550295,ab,368,368,0,1,0,0,0
216,1550295,1550295,ab,355,355,0,2,0.027922074,0.005617933,0
217,1550295,1550295,ab,329,329,0,1,0,0,0
218,1550295,1550295,ab,303,303,0,1,0,0,0
219,1550295,1550295,ab,313,313,0,1,0,0,0
220,1550295,1550295,ab,279,279,0,2,0.034280386,0.007142765,0
221,1550295,1550295,ab,300,300,0,1,0,0,0
222,1550295,1550295,ab,289,289,0,1,0,0,0
223,1550295,1550295,ab,289,289,0,1,0,0,0
224,1550295,1550295,ab,285,285,0,1,0,0,0
225,1550295,1550295,ab,277,277,0,1,0,0,0
226,1550295,1550295,ab,282,282,0,1,0,0,0
227,1550295,1550295,ab,289,289,0,2,0.033270318,0.006896469,0
228,1550295,1550295,ab,286,286,0,1,0,0,0
229,1550295,1550295,ab,274,274,0,1,0,0,0
230,1550295,1550295,ab,288,288,0,1,0,0,0
231,1550295,1550295,ab,289,289,0,1,0,0,0
232,1550295,1550295,ab,285,285,0,1,0,0,0
233,1550295,1550295,ab,279,279,0,1,0,0,0
234,1550295,1550295,ab,276,276,0,1,0,0,0
235,1550295,1550295,ab,262,262,0,1,0,0,0
236,1550295,1550295,ab,273,273,0,1,0,0,0
237,1550295,1550295,ab,278,278,0,1,0,0,0
238,1550295,1550295,ab,259,259,0,1,0,0,0
239,1550295,1550295,ab,267,267,0,1,0,0,0
240,1550295,1550295,ab,269,269,0,1,0,0,0
241,1550295,1550295,ab,287,287,0,1,0,0,0
242,1550295,1550295,ab,288,288,0,2,0.033368446,0.006920332,0
243,1550295,1550295,ab,277,277,0,1,0,0,0
244,1550295,1550295,ab,286,286,0,1,0,0,0
245,1550295,1550295,ab,265,265,0,1,0,0,0
246,1550295,1550295,ab,263,263,0,1,0,0,0
247,1550295,1550295,ab,272,272,0,1,0,0,0
248,1550295,1550295,ab,194,194,0,1,0,0,0
255,1550098,1550235,httpd,1,1,0,1,0,0,0
257,1550088,1550104,httpd,1,1,0,1,0,0,0
259,1550257,1550267,httpd,1,1,0,1,0,0,0
260,1549728,1549728,httpd,2,2,0,2,1,0.5,0
261,1550296,1550296,httpd,8,8,0,5,2.155639062,0.75,0
261,1550296,1550297,httpd,6,6,0,1,0,0,0
262,1550296,1550297,httpd,12,12,0,1,0,0,0
266,1550295,1550295,ab,61,61,0,1,0,0,0
267,1550295,1550295,ab,84,84,0,1,0,0,0
268,1550295,1550295,ab,56,56,0,1,0,0,0
268,1549978,1550087,httpd,54,54,0,1,0,0,0
269,1550295,1550295,ab,6,6,0,1,0,0,0
271,1549979,1550081,httpd,1,1,0,1,0,0,0
271,1550089,1550175,httpd,1,1,0,1,0,0,0
272,1550295,1550295,ab,34,34,0,1,0,0,0
272,1550090,1550131,httpd,1,1,0,1,0,0,0
272,1549977,1550030,httpd,1,1,0,1,0,0,0
273,1550295,1550295,ab,2,2,0,1,0,0,0
273,1550108,1550205,httpd,1,1,0,1,0,0,0
274,1550295,1550295,ab,28,28,0,1,0,0,0
274,1550092,1550255,httpd,1,1,0,1,0,0,0
275,1549978,1550087,httpd,1,1,0,1,0,0,0
276,1550295,1550295,ab,54,54,0,1,0,0,0
277,1550295,1550295,ab,80,80,0,1,0,0,0
278,1550295,1550295,ab,74,74,0,1,0,0,0
279,1550295,1550295,ab,72,72,0,1,0,0,0
280,1550295,1550295,ab,80,80,0,1,0,0,0
281,1550295,1550295,ab,84,84,0,1,0,0,0
282,1550295,1550295,ab,124,124,0,1,0,0,0
283,1550295,1550295,ab,158,158,0,1,0,0,0
284,1550295,1550295,ab,11,11,0,1,0,0,0
285,1550295,1550295,ab,17,17,0,1,0,0,0
286,1550295,1550295,ab,48,48,0,1,0,0,0
287,1550295,1550295,ab,40,40,0,1,0,0,0
288,1550295,1550295,ab,48,48,0,1,0,0,0
289,1550295,1550295,ab,69,69,0,1,0,0,0
290,1550295,1550295,ab,54,54,0,1,0,0,0
291,1550295,1550295,ab,84,84,0,1,0,0,0
291,1550088,1550111,httpd,1,1,0,1,0,0,0
292,1550295,1550295,ab,35,35,0,1,0,0,0
292,1550296,1550310,httpd,1,1,0,1,0,0,0
293,1550295,1550295,ab,46,46,0,1,0,0,0
294,1550295,1550295,ab,44,44,0,1,0,0,0
295,1550295,1550295,ab,25,25,0,1,0,0,0
297,1550295,1550295,ab,70,70,0,1,0,0,0
298,1550295,1550295,ab,112,112,0,1,0,0,0
299,1550295,1550295,ab,72,72,0,1,0,0,0
300,1550295,1550295,ab,100,100,0,1,0,0,0
301,1550295,1550295,ab,106,106,0,1,0,0,0
302,1550295,1550295,ab,50,50,0,1,0,0,0
303,1550295,1550295,ab,124,124,0,1,0,0,0
304,1550295,1550295,ab,116,116,0,1,0,0,0
305,1550295,1550295,ab,139,139,0,1,0,0,0
306,1550295,1550295,ab,281,281,0,1,0,0,0
307,1550295,1550295,ab,325,325,0,1,0,0,0
308,1550295,1550295,ab,317,317,0,1,0,0,0
309,1550295,1550295,ab,211,211,0,1,0,0,0
310,1550295,1550295,ab,32,32,0,1,0,0,0
313,1550295,1550295,ab,57,57,0,1,0,0,0
314,1550295,1550295,ab,125,125,0,1,0,0,0
315,1550295,1550295,ab,119,119,0,1,0,0,0
316,1550295,1550295,ab,35,35,0,1,0,0,0
317,1550295,1550295,ab,49,49,0,1,0,0,0
320,1550295,1550295,ab,2,2,0,1,0,0,0
321,1550295,1550295,ab,78,78,0,1,0,0,0
322,1550295,1550295,ab,20,20,0,1,0,0,0
323,1550295,1550295,ab,45,45,0,1,0,0,0
324,1550295,1550295,ab,2,2,0,1,0,0,0
