PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
52,45914,45914,redis-benchmark,3,5,2,2,0.918295834,0.444444444,0
54,45914,45914,redis-benchmark,4,4,0,1,0,0,0
55,45914,45914,redis-benchmark,2,2,0,1,0,0,0
56,45914,45914,redis-benchmark,4,4,0,1,0,0,0
57,45914,45914,redis-benchmark,2,2,0,1,0,0,0
58,45914,45914,redis-benchmark,2,2,0,1,0,0,0
59,45914,45914,redis-benchmark,4,4,0,1,0,0,0
60,45914,45914,redis-benchmark,4,4,0,1,0,0,0
61,45914,45914,redis-benchmark,4,4,0,1,0,0,0
62,45914,45914,redis-benchmark,4,4,0,1,0,0,0
63,45914,45914,redis-benchmark,4,4,0,1,0,0,0
64,45914,45914,redis-benchmark,4,4,0,1,0,0,0
65,45914,45914,redis-benchmark,4,4,0,1,0,0,0
66,45914,45914,redis-benchmark,4,4,0,1,0,0,0
67,45914,45914,redis-benchmark,4,4,0,1,0,0,0
68,45914,45914,redis-benchmark,4,4,0,1,0,0,0
69,45914,45914,redis-benchmark,4,4,0,1,0,0,0
70,45914,45914,redis-benchmark,4,4,0,1,0,0,0
1807,792,792,redis-server,1,1,0,1,0,0,0
2358,45902,45902,redis-server,1,2,1,1,0,0,0
2359,45902,45902,redis-server,2,4,2,2,1,0.5,0
2360,45902,45902,redis-server,1,4,3,1,0,0,0
2661,792,792,redis-server,1,1,0,1,0,0,0
2982,45902,45902,redis-server,1,1,0,1,0,0,0
2984,45914,45914,redis-benchmark,1,1,0,1,0,0,0
2986,45914,45914,redis-benchmark,64,64,0,1,0,0,0
3069,45902,45902,redis-server,1,1,0,1,0,0,0
3096,45902,45902,redis-server,1,1,0,1,0,0,0
3334,45902,45902,redis-server,1,1,0,1,0,0,0
3405,45902,45902,redis-server,1,1,0,1,0,0,0
3525,792,792,redis-server,1,1,0,1,0,0,0
3663,792,792,redis-server,1,1,0,1,0,0,0
3783,792,792,redis-server,1,1,0,1,0,0,0
4220,45902,45902,redis-server,1,1,0,1,0,0,0
4257,45902,45902,redis-server,1,1,0,1,0,0,0
4300,792,792,redis-server,1,1,0,1,0,0,0
5001,45902,45902,redis-server,2,3,1,2,1,0.5,0
5002,45902,45902,redis-server,2,2,0,2,1,0.5,0
5017,45919,45919,redis-server,1,3,2,1,0,0,0
5060,45902,45902,redis-server,1,1,0,1,0,0,0
5168,792,792,redis-server,1,1,0,1,0,0,0
6861,45902,45902,redis-server,1,1,0,1,0,0,0
6912,792,792,redis-server,1,1,0,1,0,0,0
7118,45902,45902,redis-server,1,1,0,1,0,0,0
7303,45902,45902,redis-server,1,1,0,1,0,0,0
