PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
57,11561,11707,mysqld,1,1,0,1,0,0,0
61,11561,11707,mysqld,1,2,1,1,0,0,0
66,11561,11707,mysqld,1,2,1,1,0,0,0
69,11561,11707,mysqld,1,1,0,1,0,0,0
73,11561,11707,mysqld,1,2,1,1,0,0,0
77,11561,11707,mysqld,1,2,1,1,0,0,0
80,11561,11707,mysqld,1,2,1,1,0,0,0
84,11561,11707,mysqld,1,1,0,1,0,0,0
89,11561,11707,mysqld,1,2,1,1,0,0,0
92,11561,11707,mysqld,1,1,0,1,0,0,0
96,11561,11707,mysqld,1,2,1,1,0,0,0
99,11561,11707,mysqld,1,2,1,1,0,0,0
103,11561,11707,mysqld,1,2,1,1,0,0,0
107,11561,11707,mysqld,1,2,1,1,0,0,0
110,11561,11707,mysqld,1,2,1,1,0,0,0
126,11561,11707,mysqld,1,2,1,1,0,0,0
132,11561,11707,mysqld,1,2,1,1,0,0,0
135,11561,11707,mysqld,1,1,0,1,0,0,0
139,11561,11707,mysqld,1,2,1,1,0,0,0
142,11561,11707,mysqld,1,1,0,1,0,0,0
146,11561,11707,mysqld,1,2,1,1,0,0,0
150,11561,11707,mysqld,1,2,1,1,0,0,0
154,11561,11707,mysqld,1,2,1,1,0,0,0
157,11561,11707,mysqld,1,1,0,1,0,0,0
161,11561,11707,mysqld,1,1,0,1,0,0,0
166,11561,11707,mysqld,1,2,1,1,0,0,0
169,11561,11707,mysqld,1,2,1,1,0,0,0
172,11561,11707,mysqld,1,1,0,1,0,0,0
176,11561,11707,mysqld,1,2,1,1,0,0,0
181,11561,11707,mysqld,1,2,1,1,0,0,0
185,11561,11707,mysqld,1,1,0,1,0,0,0
190,11561,11707,mysqld,1,2,1,1,0,0,0
194,11561,11707,mysqld,1,2,1,1,0,0,0
198,11561,11707,mysqld,1,2,1,1,0,0,0
201,11561,11707,mysqld,1,1,0,1,0,0,0
209,11561,11707,mysqld,1,1,0,1,0,0,0
213,11561,11707,mysqld,1,2,1,1,0,0,0
216,11561,11707,mysqld,1,2,1,1,0,0,0
223,11561,11707,mysqld,1,2,1,1,0,0,0
227,11561,11707,mysqld,1,2,1,1,0,0,0
