PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
75,11561,11561,mysqld,19,19,0,1,0,0,0
76,11561,11561,mysqld,4,4,0,1,0,0,0
77,11561,11716,mysqld,2,6,4,2,1,0.5,0
77,11561,11704,mysqld,1,2,1,1,0,0,0
77,11561,11596,mysqld,2,3,1,2,1,0.5,0
77,11561,11711,mysqld,2,6,4,2,1,0.5,0
77,11561,11719,mysqld,1,3,2,1,0,0,0
78,11561,11713,mysqld,2,5,3,2,1,0.5,0
78,11561,11707,mysqld,2,5,3,2,1,0.5,0
78,11561,11704,mysqld,2,5,3,2,1,0.5,0
78,11561,11701,mysqld,2,5,3,2,1,0.5,0
78,11561,11705,mysqld,2,5,3,2,1,0.5,0
78,11561,11715,mysqld,2,5,3,2,1,0.5,0
78,11561,11718,mysqld,2,5,3,2,1,0.5,0
78,11561,11709,mysqld,2,5,3,2,1,0.5,0
78,11561,11710,mysqld,2,5,3,2,1,0.5,0
78,11561,11708,mysqld,2,5,3,2,1,0.5,0
78,11561,11596,mysqld,1,3,2,1,0,0,0
78,11561,11697,mysqld,2,5,3,2,1,0.5,0
78,11561,11698,mysqld,2,5,3,2,1,0.5,0
78,11561,11712,mysqld,2,5,3,2,1,0.5,0
78,11561,11702,mysqld,2,5,3,2,1,0.5,0
78,11561,11703,mysqld,2,5,3,2,1,0.5,0
78,11561,11699,mysqld,2,5,3,2,1,0.5,0
78,11561,11700,mysqld,2,5,3,2,1,0.5,0
78,11561,11706,mysqld,2,5,3,2,1,0.5,0
78,11561,11714,mysqld,2,5,3,2,1,0.5,0
78,11561,11717,mysqld,2,5,3,2,1,0.5,0
78,11561,11719,mysqld,1,3,2,1,0,0,0
79,11561,11716,mysqld,1,1,0,1,0,0,0
82,11561,11716,mysqld,2,7,5,2,1,0.5,0
82,11561,11701,mysqld,1,1,0,1,0,0,0
82,11561,11718,mysqld,1,1,0,1,0,0,0
82,11561,11698,mysqld,1,1,0,1,0,0,0
82,11561,11712,mysqld,1,1,0,1,0,0,0
82,11561,11703,mysqld,1,1,0,1,0,0,0
82,11561,11699,mysqld,1,1,0,1,0,0,0
82,11561,11700,mysqld,1,1,0,1,0,0,0
82,11561,11706,mysqld,1,1,0,1,0,0,0
82,11561,11714,mysqld,1,1,0,1,0,0,0
82,11561,11719,mysqld,1,1,0,1,0,0,0
84,11561,11713,mysqld,1,1,0,1,0,0,0
84,11561,11707,mysqld,1,1,0,1,0,0,0
84,11561,11704,mysqld,1,1,0,1,0,0,0
84,11561,11705,mysqld,1,1,0,1,0,0,0
84,11561,11715,mysqld,1,1,0,1,0,0,0
84,11561,11710,mysqld,1,1,0,1,0,0,0
84,11561,11708,mysqld,1,1,0,1,0,0,0
84,11561,11596,mysqld,1,1,0,1,0,0,0
84,11561,11697,mysqld,1,1,0,1,0,0,0
84,11561,11702,mysqld,1,1,0,1,0,0,0
84,11561,11703,mysqld,1,1,0,1,0,0,0
84,11561,11717,mysqld,1,1,0,1,0,0,0
85,11561,11711,mysqld,2,7,5,2,1,0.5,0
87,11561,11701,mysqld,2,7,5,2,1,0.5,0
92,11561,11708,mysqld,2,7,5,2,1,0.5,0
95,11561,11700,mysqld,2,7,5,2,1,0.5,0
98,11561,11706,mysqld,2,5,3,2,1,0.5,0
102,11561,11703,mysqld,2,7,5,2,1,0.5,0
107,11561,11717,mysqld,2,7,5,2,1,0.5,0
119,11561,11697,mysqld,2,7,5,2,1,0.5,0
120,11561,11710,mysqld,2,7,5,2,1,0.5,0
124,11561,11714,mysqld,2,7,5,2,1,0.5,0
127,11561,11709,mysqld,2,7,5,2,1,0.5,0
130,11561,11702,mysqld,2,7,5,2,1,0.5,0
135,11561,11701,mysqld,1,3,2,1,0,0,0
135,11561,11703,mysqld,1,3,2,1,0,0,0
135,11561,11706,mysqld,1,3,2,1,0,0,0
137,11561,11701,mysqld,1,1,0,1,0,0,0
142,11561,11716,mysqld,1,3,2,1,0,0,0
142,11561,11718,mysqld,2,7,5,2,1,0.5,0
142,11561,11710,mysqld,1,3,2,1,0,0,0
142,11561,11700,mysqld,1,3,2,1,0,0,0
150,11561,11715,mysqld,2,7,5,2,1,0.5,0
154,11561,11709,mysqld,1,3,2,1,0,0,0
159,11561,11697,mysqld,1,3,2,1,0,0,0
159,11561,11699,mysqld,2,7,5,2,1,0.5,0
159,11561,11717,mysqld,1,3,2,1,0,0,0
161,11561,11716,mysqld,1,1,0,1,0,0,0
161,11561,11701,mysqld,1,1,0,1,0,0,0
162,11561,11713,mysqld,2,7,5,2,1,0.5,0
170,11561,11697,mysqld,1,1,0,1,0,0,0
185,11561,11698,mysqld,2,7,5,2,1,0.5,0
187,11561,11701,mysqld,1,1,0,1,0,0,0
189,11561,11718,mysqld,1,2,1,1,0,0,0
192,11561,11716,mysqld,1,1,0,1,0,0,0
192,11561,11701,mysqld,1,1,0,1,0,0,0
193,11561,11708,mysqld,1,2,1,1,0,0,0
193,11561,11712,mysqld,2,5,3,2,1,0.5,0
197,11561,11702,mysqld,1,3,2,1,0,0,0
197,11561,11719,mysqld,2,7,5,2,1,0.5,0
198,11561,11710,mysqld,1,1,0,1,0,0,0
198,11561,11706,mysqld,1,1,0,1,0,0,0
200,11561,11704,mysqld,2,7,5,2,1,0.5,0
200,11561,11715,mysqld,1,3,2,1,0,0,0
205,11561,11699,mysqld,1,2,1,1,0,0,0
210,11561,11711,mysqld,1,3,2,1,0,0,0
212,11561,11709,mysqld,1,1,0,1,0,0,0
222,11561,11713,mysqld,1,2,1,1,0,0,0
222,11561,11714,mysqld,1,2,1,1,0,0,0
