PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
59,7625,8109,connection,2,2,0,1,0,0,0
73,7625,8109,connection,2,2,0,1,0,0,0
88,7625,8109,connection,2,2,0,1,0,0,0
105,7625,8109,connection,2,2,0,1,0,0,0
123,7625,8109,connection,2,2,0,1,0,0,0
132,7625,8109,connection,1,1,0,1,0,0,0
136,7625,8109,connection,2,3,1,1,0,0,0
149,7625,8109,connection,3,3,0,2,0.918295834,0.444444444,0
162,7625,8109,connection,2,2,0,1,0,0,0
175,7625,8109,connection,2,2,0,1,0,0,0
188,7625,8109,connection,2,2,0,1,0,0,0
205,7625,8109,connection,2,2,0,1,0,0,0
220,7625,8109,connection,2,2,0,1,0,0,0
231,7625,8109,connection,2,2,0,1,0,0,0
245,7625,8109,connection,1,1,0,1,0,0,0
246,7625,8109,connection,1,1,0,1,0,0,0
261,7625,8109,connection,2,2,0,1,0,0,0
274,7625,8109,connection,2,2,0,1,0,0,0
287,7625,8109,connection,2,2,0,1,0,0,0
295,7625,8109,connection,2,3,1,1,0,0,0
302,7625,8109,connection,2,2,0,1,0,0,0
310,7625,8109,connection,2,2,0,1,0,0,0
321,7625,8109,connection,2,2,0,1,0,0,0
335,7625,8109,connection,2,2,0,1,0,0,0
345,7625,8109,connection,2,2,0,1,0,0,0
354,7625,8109,connection,2,3,1,1,0,0,0
395,7625,8109,connection,2,3,1,1,0,0,0
406,7625,8109,connection,2,2,0,1,0,0,0
420,7625,8109,connection,2,2,0,1,0,0,0
435,7625,8109,connection,2,2,0,1,0,0,0
444,7625,8109,connection,2,2,0,1,0,0,0
452,7625,8109,connection,2,2,0,1,0,0,0
460,7625,8109,connection,2,3,1,1,0,0,0
466,7625,8109,connection,2,2,0,1,0,0,0
474,7625,8109,connection,3,3,0,2,0.918295834,0.444444444,0
482,7625,8109,connection,2,3,1,1,0,0,0
490,7625,8109,connection,2,3,1,1,0,0,0
502,7625,8109,connection,2,2,0,1,0,0,0
517,7625,8109,connection,2,3,1,1,0,0,0
525,7625,8109,connection,2,2,0,1,0,0,0
533,7625,8109,connection,2,3,1,1,0,0,0
539,7625,8109,connection,2,2,0,1,0,0,0
