PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
59,7625,7772,connection,1,1,0,1,0,0,0
59,7625,7774,connection,1,1,0,1,0,0,0
60,7625,7762,connection,1,1,0,1,0,0,0
75,7625,7774,connection,1,1,0,1,0,0,0
76,7625,7762,connection,1,1,0,1,0,0,0
77,7625,7772,connection,1,3,2,1,0,0,0
78,7625,7767,connection,1,1,0,1,0,0,0
78,7625,7770,connection,1,1,0,1,0,0,0
78,7625,7780,connection,1,1,0,1,0,0,0
79,7625,7764,connection,1,1,0,1,0,0,0
79,7625,7773,connection,1,1,0,1,0,0,0
79,7625,7759,connection,1,1,0,1,0,0,0
79,7625,7780,connection,1,1,0,1,0,0,0
80,7625,7767,connection,1,1,0,1,0,0,0
80,7625,7758,connection,1,1,0,1,0,0,0
80,7625,7761,connection,1,1,0,1,0,0,0
80,7625,7776,connection,1,1,0,1,0,0,0
81,7625,7773,connection,1,1,0,1,0,0,0
81,7625,7768,connection,1,1,0,1,0,0,0
82,7625,7767,connection,1,3,2,1,0,0,0
82,7625,7770,connection,1,3,2,1,0,0,0
82,7625,7761,connection,1,1,0,1,0,0,0
82,7625,7771,connection,1,1,0,1,0,0,0
82,7625,7759,connection,1,3,2,1,0,0,0
82,7625,7768,connection,1,1,0,1,0,0,0
82,7625,7776,connection,1,3,2,1,0,0,0
83,7625,7760,connection,1,1,0,1,0,0,0
83,7625,7758,connection,1,3,2,1,0,0,0
83,7625,7764,connection,1,3,2,1,0,0,0
83,7625,7766,connection,1,1,0,1,0,0,0
83,7625,7763,connection,1,1,0,1,0,0,0
84,7625,7760,connection,1,3,2,1,0,0,0
84,7625,7771,connection,1,3,2,1,0,0,0
84,7625,7763,connection,1,4,3,1,0,0,0
84,7625,7781,connection,1,1,0,1,0,0,0
85,7625,7778,connection,1,1,0,1,0,0,0
85,7625,7766,connection,1,1,0,1,0,0,0
86,7625,7764,connection,1,1,0,1,0,0,0
86,7625,7771,connection,1,1,0,1,0,0,0
87,7625,7775,connection,1,1,0,1,0,0,0
87,7625,7769,connection,1,1,0,1,0,0,0
87,7625,7777,connection,1,1,0,1,0,0,0
87,7625,7779,connection,1,1,0,1,0,0,0
87,7625,7765,connection,1,1,0,1,0,0,0
87,7625,7781,connection,1,4,3,1,0,0,0
90,7625,7778,connection,1,4,3,1,0,0,0
92,7625,7767,connection,1,1,0,1,0,0,0
92,7625,7760,connection,1,1,0,1,0,0,0
92,7625,7775,connection,2,3,1,2,1,0.5,0
92,7625,7769,connection,2,3,1,2,1,0.5,0
92,7625,7763,connection,1,1,0,1,0,0,0
92,7625,7777,connection,2,3,1,2,1,0.5,0
92,7625,7779,connection,2,3,1,2,1,0.5,0
92,7625,7765,connection,2,3,1,2,1,0.5,0
92,7625,7776,connection,1,1,0,1,0,0,0
123,7625,7774,connection,2,6,4,2,1,0.5,0
124,7625,7770,connection,1,1,0,1,0,0,0
126,7625,7762,connection,2,6,4,2,1,0.5,0
128,7625,7767,connection,2,6,4,2,1,0.5,0
131,7625,7772,connection,2,6,4,2,1,0.5,0
131,7625,7770,connection,2,6,4,2,1,0.5,0
131,7625,7776,connection,2,6,4,2,1,0.5,0
137,7625,7774,connection,1,1,0,1,0,0,0
141,7625,7774,connection,1,1,0,1,0,0,0
147,7625,7775,connection,1,1,0,1,0,0,0
147,7625,7774,connection,1,1,0,1,0,0,0
150,7625,7772,connection,1,1,0,1,0,0,0
152,7625,7775,connection,2,6,4,2,1,0.5,0
152,7625,7780,connection,2,6,4,2,1,0.5,0
184,7625,7758,connection,2,6,4,2,1,0.5,0
185,7625,7777,connection,2,6,4,2,1,0.5,0
185,7625,7779,connection,2,6,4,2,1,0.5,0
189,7625,7776,connection,1,2,1,1,0,0,0
207,7625,7772,connection,1,1,0,1,0,0,0
207,7625,7777,connection,1,1,0,1,0,0,0
207,7625,7779,connection,1,1,0,1,0,0,0
207,7625,7774,connection,1,1,0,1,0,0,0
210,7625,7772,connection,1,1,0,1,0,0,0
220,7625,7772,connection,1,1,0,1,0,0,0
220,7625,7774,connection,1,1,0,1,0,0,0
223,7625,7780,connection,1,2,1,1,0,0,0
241,7625,7765,connection,2,6,4,2,1,0.5,0
246,7625,7774,connection,1,1,0,1,0,0,0
248,7625,7760,connection,2,6,4,2,1,0.5,0
267,7625,7774,connection,1,1,0,1,0,0,0
269,7625,7772,connection,1,1,0,1,0,0,0
269,7625,7762,connection,1,1,0,1,0,0,0
274,7625,7774,connection,1,1,0,1,0,0,0
275,7625,7772,connection,1,1,0,1,0,0,0
