PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
152,7625,7777,connection,1,1,0,1,0,0,0
153,7625,8106,connection,1,1,0,1,0,0,0
200,7625,8110,connection,1,1,0,1,0,0,0
223,7625,7776,connection,1,1,0,1,0,0,0
246,7625,7767,connection,1,1,0,1,0,0,0
300,7625,8117,connection,1,1,0,1,0,0,0
300,7625,7776,connection,1,2,1,1,0,0,0
441,7625,7777,connection,1,1,0,1,0,0,0
511,7625,8115,connection,1,1,0,1,0,0,0
624,7625,7776,connection,1,1,0,1,0,0,0
649,7625,7770,connection,1,1,0,1,0,0,0
668,7625,7770,connection,1,1,0,1,0,0,0
681,7625,8114,connection,1,1,0,1,0,0,0
681,7625,8116,connection,1,2,1,1,0,0,0
725,7625,7781,connection,1,1,0,1,0,0,0
772,7625,8113,connection,1,1,0,1,0,0,0
782,7625,7775,connection,1,1,0,1,0,0,0
805,7625,8105,connection,1,1,0,1,0,0,0
828,7625,8107,connection,1,1,0,1,0,0,0
831,7625,7769,connection,1,1,0,1,0,0,0
879,7625,8106,connection,1,1,0,1,0,0,0
919,7625,7773,connection,1,1,0,1,0,0,0
957,7625,8117,connection,1,1,0,1,0,0,0
984,7625,8114,connection,1,1,0,1,0,0,0
1001,7625,7767,connection,1,1,0,1,0,0,0
1017,7625,7775,connection,1,1,0,1,0,0,0
1081,7625,7775,connection,1,1,0,1,0,0,0
1095,7625,7776,connection,1,1,0,1,0,0,0
1102,7625,8116,connection,1,1,0,1,0,0,0
1135,7625,8108,connection,1,1,0,1,0,0,0
1190,7625,8110,connection,1,1,0,1,0,0,0
1244,7625,8113,connection,1,1,0,1,0,0,0
1249,7625,8104,connection,1,1,0,1,0,0,0
1281,7625,8116,connection,1,1,0,1,0,0,0
1317,7625,8103,connection,1,1,0,1,0,0,0
1347,7625,8104,connection,1,1,0,1,0,0,0
1364,7625,8111,connection,1,1,0,1,0,0,0
1374,7625,8106,connection,1,1,0,1,0,0,0
1385,7625,8113,connection,1,1,0,1,0,0,0
1432,7625,8109,connection,1,1,0,1,0,0,0
1448,7625,8109,connection,1,1,0,1,0,0,0
1499,7625,7777,connection,1,1,0,1,0,0,0
