PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
53,10365,10365,nginx,5,11,6,3,1.370950594,0.56,0
56,10365,10365,nginx,1,1,0,1,0,0,0
56,10367,10367,nginx,1,1,0,1,0,0,0
56,10368,10368,nginx,1,1,0,1,0,0,0
56,10366,10366,nginx,1,1,0,1,0,0,0
58,10365,10365,nginx,1,1,0,1,0,0,0
59,10367,10367,nginx,1,1,0,1,0,0,0
59,10368,10368,nginx,1,1,0,1,0,0,0
59,10366,10366,nginx,1,1,0,1,0,0,0
63,10365,10365,nginx,1,1,0,1,0,0,0
63,10367,10367,nginx,1,1,0,1,0,0,0
64,10368,10368,nginx,1,1,0,1,0,0,0
64,10366,10366,nginx,1,1,0,1,0,0,0
73,10365,10365,nginx,1,1,0,1,0,0,0
73,10367,10367,nginx,1,1,0,1,0,0,0
73,10368,10368,nginx,1,1,0,1,0,0,0
73,10366,10366,nginx,1,1,0,1,0,0,0
149,10367,10367,nginx,2,2,0,2,1,0.5,0
149,10368,10368,nginx,2,2,0,2,1,0.5,0
155,10366,10366,nginx,2,2,0,2,1,0.5,0
