PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
70,7365,7365,postgres,6,9,3,4,1.918295834,0.722222222,0
70,7337,7337,postgres,2,2,0,2,1,0.5,0
180,7341,7341,postgres,1,1,0,1,0,0,0
281,7337,7337,postgres,2,2,0,2,1,0.5,0
281,7366,7366,postgres,6,7,1,4,1.918295834,0.722222222,0
282,7340,7340,postgres,1,1,0,1,0,0,0
282,7366,7366,postgres,1,5,4,1,0,0,0
282,7343,7343,postgres,1,1,0,1,0,0,0
283,7366,7366,postgres,2,4,2,2,1,0.5,0
284,7341,7341,postgres,1,1,0,1,0,0,0
284,7366,7366,postgres,2,3,1,2,1,0.5,0
284,7343,7343,postgres,9,14,5,3,1.351644115,0.567901235,0
285,7343,7343,postgres,1,2,1,1,0,0,0
286,7337,7337,postgres,2,2,0,2,1,0.5,0
286,7366,7366,postgres,6,9,3,2,0.650022422,0.277777778,0
286,7343,7343,postgres,1,1,0,1,0,0,0
287,7387,7387,postgres,7,8,1,4,1.842370993,0.693877551,0
287,7386,7386,postgres,6,7,1,4,1.918295834,0.722222222,0
287,7385,7385,postgres,6,9,3,4,1.918295834,0.722222222,0
287,7393,7393,postgres,6,7,1,4,1.918295834,0.722222222,0
287,7337,7337,postgres,18,18,0,2,1,0.5,0
288,7391,7391,postgres,7,8,1,4,1.842370993,0.693877551,0
288,7396,7396,postgres,7,8,1,4,1.842370993,0.693877551,0
288,7387,7387,postgres,1,2,1,1,0,0,0
288,7402,7402,postgres,7,9,2,4,1.842370993,0.693877551,0
288,7386,7386,postgres,1,2,1,1,0,0,0
288,7399,7399,postgres,7,8,1,4,1.842370993,0.693877551,0
288,7393,7393,postgres,1,2,1,1,0,0,0
288,7403,7403,postgres,5,6,1,4,1.921928095,0.72,0
288,7389,7389,postgres,7,8,1,4,1.842370993,0.693877551,0
288,7337,7337,postgres,16,16,0,2,1,0.5,0
288,7400,7400,postgres,7,8,1,4,1.842370993,0.693877551,0
288,7390,7390,postgres,6,7,1,4,1.918295834,0.722222222,0
288,7398,7398,postgres,7,8,1,4,1.842370993,0.693877551,0
288,7395,7395,postgres,7,8,1,4,1.842370993,0.693877551,0
289,7407,7407,postgres,7,8,1,4,1.842370993,0.693877551,0
289,7399,7399,postgres,1,1,0,1,0,0,0
289,7409,7409,postgres,6,7,1,4,1.918295834,0.722222222,0
289,7393,7393,postgres,1,1,0,1,0,0,0
289,7408,7408,postgres,7,8,1,4,1.842370993,0.693877551,0
289,7403,7403,postgres,1,3,2,1,0,0,0
289,7337,7337,postgres,4,4,0,2,1,0.5,0
289,7400,7400,postgres,1,1,0,1,0,0,0
289,7390,7390,postgres,1,1,0,1,0,0,0
289,7398,7398,postgres,1,2,1,1,0,0,0
289,7343,7343,postgres,1,2,1,1,0,0,0
290,7409,7409,postgres,2,2,0,1,0,0,0
290,7389,7389,postgres,1,1,0,1,0,0,0
290,7337,7337,postgres,8,8,0,2,1,0.5,0
290,7343,7343,postgres,1,6,5,1,0,0,0
291,7407,7407,postgres,1,1,0,1,0,0,0
291,7396,7396,postgres,1,1,0,1,0,0,0
291,7386,7386,postgres,1,1,0,1,0,0,0
291,7385,7385,postgres,2,3,1,2,1,0.5,0
291,7408,7408,postgres,1,1,0,1,0,0,0
291,7400,7400,postgres,1,2,1,1,0,0,0
291,7404,7404,postgres,5,6,1,4,1.921928095,0.72,0
291,7343,7343,postgres,2,7,5,1,0,0,0
292,7407,7407,postgres,1,1,0,1,0,0,0
292,7396,7396,postgres,1,1,0,1,0,0,0
292,7387,7387,postgres,1,1,0,1,0,0,0
292,7386,7386,postgres,1,1,0,1,0,0,0
292,7399,7399,postgres,1,1,0,1,0,0,0
292,7421,7421,postgres,6,7,1,4,1.918295834,0.722222222,0
292,7420,7420,postgres,7,8,1,4,1.842370993,0.693877551,0
292,7408,7408,postgres,1,1,0,1,0,0,0
292,7406,7406,postgres,6,8,2,4,1.918295834,0.722222222,0
292,7398,7398,postgres,1,1,0,1,0,0,0
292,7343,7343,postgres,1,3,2,1,0,0,0
293,7391,7391,postgres,1,1,0,1,0,0,0
293,7396,7396,postgres,1,3,2,1,0,0,0
293,7387,7387,postgres,1,2,1,1,0,0,0
293,7402,7402,postgres,1,3,2,1,0,0,0
293,7386,7386,postgres,1,2,1,1,0,0,0
293,7399,7399,postgres,1,3,2,1,0,0,0
293,7421,7421,postgres,1,3,2,1,0,0,0
293,7420,7420,postgres,1,2,1,1,0,0,0
293,7409,7409,postgres,1,1,0,1,0,0,0
293,7393,7393,postgres,1,1,0,1,0,0,0
293,7400,7400,postgres,1,1,0,1,0,0,0
293,7404,7404,postgres,2,3,1,1,0,0,0
293,7343,7343,postgres,1,5,4,1,0,0,0
293,7395,7395,postgres,1,2,1,1,0,0,0
294,7387,7387,postgres,1,2,1,1,0,0,0
294,7418,7418,postgres,6,8,2,4,1.918295834,0.722222222,0
294,7402,7402,postgres,1,2,1,1,0,0,0
294,7386,7386,postgres,1,2,1,1,0,0,0
294,7399,7399,postgres,1,2,1,1,0,0,0
294,7421,7421,postgres,1,1,0,1,0,0,0
294,7385,7385,postgres,1,1,0,1,0,0,0
294,7419,7419,postgres,6,8,2,4,1.918295834,0.722222222,0
294,7393,7393,postgres,1,1,0,1,0,0,0
294,7389,7389,postgres,1,3,2,1,0,0,0
294,7400,7400,postgres,1,2,1,1,0,0,0
294,7417,7417,postgres,6,9,3,4,1.918295834,0.722222222,0
294,7390,7390,postgres,1,2,1,1,0,0,0
