PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
116,6336,6336,poc,10,13,3,8,2.846439345,0.84,1
133,6335,6335,poc,300,300,0,3,1.247058084,0.549066667,1
134,6335,6335,poc,305,392,87,9,1.84279503,0.655436711,1
134,6338,6338,poc,10,13,3,8,2.846439345,0.84,1
148,6335,6335,poc,414,414,0,3,1.039017686,0.504609209,1
149,6335,6335,poc,182,253,71,9,1.291860643,0.484078685,1
149,6340,6340,poc,10,13,3,8,2.846439345,0.84,1
164,6342,6342,poc,10,13,3,8,2.846439345,0.84,1
164,6335,6335,poc,557,685,128,9,1.835135296,0.67040345,1
179,6335,6335,poc,541,669,128,9,1.676253226,0.63897554,1
179,6344,6344,poc,10,13,3,8,2.846439345,0.84,1
192,6335,6335,poc,558,686,128,9,1.839445544,0.671394252,1
192,6346,6346,poc,5,6,1,4,1.921928095,0.72,1
193,6346,6346,poc,7,7,0,6,2.521640636,0.816326531,1
209,6335,6335,poc,540,668,128,9,1.663578055,0.637647462,1
209,6348,6348,poc,10,13,3,8,2.846439345,0.84,1
225,6335,6335,poc,599,680,81,7,1.802016014,0.678175367,1
226,6335,6335,poc,5,5,0,4,1.921928095,0.72,1
226,6350,6350,poc,10,13,3,8,2.846439345,0.84,1
239,6335,6335,poc,615,660,45,7,1.64835556,0.652088043,1
240,6335,6335,poc,5,5,0,4,1.921928095,0.72,1
240,6352,6352,poc,10,13,3,8,2.846439345,0.84,1
253,6335,6335,poc,88,88,0,2,1,0.5,1
254,6335,6335,poc,471,595,124,9,1.85980348,0.675637055,1
254,6354,6354,poc,10,13,3,8,2.846439345,0.84,1
273,6335,6335,poc,539,667,128,9,1.675177396,0.63993997,1
273,6356,6356,poc,10,13,3,8,2.846439345,0.84,1
292,6335,6335,poc,554,682,128,9,1.827529101,0.668880084,1
292,6358,6358,poc,10,13,3,8,2.846439345,0.84,1
309,6335,6335,poc,538,666,128,9,1.679926609,0.640462404,1
309,6360,6360,poc,12,13,1,9,3.022055209,0.861111111,1
326,6335,6335,poc,555,683,128,9,1.828206671,0.670374158,1
326,6362,6362,poc,10,13,3,8,2.846439345,0.84,1
343,6335,6335,poc,538,666,128,9,1.686335483,0.642217493,1
344,6364,6364,poc,10,13,3,8,2.846439345,0.84,1
360,6335,6335,poc,555,683,128,9,1.810947708,0.665855044,1
360,6366,6366,poc,10,13,3,8,2.846439345,0.84,1
378,6335,6335,poc,537,665,128,9,1.681149941,0.640956552,1
378,6368,6368,poc,10,13,3,8,2.846439345,0.84,1
395,6335,6335,poc,554,682,128,9,1.812259207,0.666351705,1
395,6370,6370,poc,10,13,3,8,2.846439345,0.84,1
409,6335,6335,poc,534,662,128,9,1.654917243,0.637847354,1
409,6372,6372,poc,10,13,3,8,2.846439345,0.84,1
423,6335,6335,poc,551,679,128,9,1.79796169,0.663212572,1
423,6374,6374,poc,10,13,3,8,2.846439345,0.84,1
441,6335,6335,poc,535,663,128,9,1.683594715,0.641942528,1
441,6377,6377,poc,5,6,1,4,1.921928095,0.72,1
442,6377,6377,poc,7,7,0,6,2.521640636,0.816326531,1
458,6335,6335,poc,552,680,128,9,1.796654786,0.662715291,1
458,6379,6379,poc,10,13,3,8,2.846439345,0.84,1
472,6335,6335,poc,533,661,128,9,1.656112799,0.63834221,1
472,6381,6381,poc,10,13,3,8,2.846439345,0.84,1
492,6335,6335,poc,548,676,128,9,1.791315071,0.660956897,1
492,6383,6383,poc,10,13,3,8,2.846439345,0.84,1
510,6335,6335,poc,536,664,128,9,1.682372654,0.641449933,1
510,6385,6385,poc,10,13,3,8,2.846439345,0.84,1
526,6335,6335,poc,618,618,0,5,1.614191918,0.63294268,1
527,6387,6387,poc,10,13,3,8,2.846439345,0.84,1
527,6335,6335,poc,46,56,10,6,0.823055237,0.230867347,1
541,6335,6335,poc,535,663,128,9,1.669615523,0.640118788,1
541,6389,6389,poc,10,13,3,8,2.846439345,0.84,1
555,6335,6335,poc,544,672,128,9,1.768267326,0.65643923,1
555,6391,6391,poc,12,13,1,9,3.022055209,0.861111111,1
570,6335,6335,poc,536,664,128,9,1.682372654,0.641449933,1
571,6393,6393,poc,10,13,3,8,2.846439345,0.84,1
587,6335,6335,poc,545,673,128,9,1.774278972,0.657587745,1
587,6395,6395,poc,10,13,3,8,2.846439345,0.84,1
601,6335,6335,poc,540,657,117,7,1.625250613,0.639259259,1
602,6335,6335,poc,7,7,0,5,2.128085279,0.734693878,1
602,6397,6397,poc,10,13,3,8,2.846439345,0.84,1
619,6335,6335,poc,541,669,128,9,1.749081684,0.652915632,1
619,6399,6399,poc,5,6,1,4,1.921928095,0.72,1
620,6399,6399,poc,7,7,0,6,2.521640636,0.816326531,1
636,6335,6335,poc,534,662,128,9,1.668932886,0.639684944,1
636,6401,6401,poc,10,13,3,8,2.846439345,0.84,1
