PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
224,30697,30719,Thread-5,1,3,2,1,0,0,0
225,30697,30719,Thread-5,1,15,14,1,0,0,0
226,30697,30719,Thread-5,1,22,21,1,0,0,0
229,30697,30719,Thread-5,1,16,15,1,0,0,0
230,30697,30719,Thread-5,1,28,27,1,0,0,0
231,30697,30719,Thread-5,1,24,23,1,0,0,0
232,30697,30719,Thread-5,1,34,33,1,0,0,0
233,30697,30719,Thread-5,3,46,43,1,0,0,0
234,30697,30719,Thread-5,1,47,46,1,0,0,0
235,30697,30719,Thread-5,1,39,38,1,0,0,0
236,30697,30719,Thread-5,1,18,17,1,0,0,0
240,30697,30719,Thread-5,1,14,13,1,0,0,0
241,30697,30719,Thread-5,3,57,54,1,0,0,0
242,30697,30719,Thread-5,2,61,59,1,0,0,0
243,30697,30715,Thread-9,5,16,11,1,0,0,0
244,30697,30715,Thread-9,5,38,33,1,0,0,0
245,30697,30715,Thread-9,5,44,39,1,0,0,0
246,30697,30715,Thread-9,6,96,90,1,0,0,0
248,30697,30715,Thread-9,1,47,46,1,0,0,0
249,30697,30715,Thread-9,1,38,37,1,0,0,0
250,30697,30715,Thread-9,1,7,6,1,0,0,0
251,30697,30715,Thread-9,1,74,73,1,0,0,0
252,30697,30715,Thread-9,1,55,54,1,0,0,0
253,30697,30717,Thread-2,3,35,33,1,0,0,0
254,30697,30717,Thread-2,1,59,58,1,0,0,0
255,30697,30717,Thread-2,1,92,91,1,0,0,0
256,30697,30717,Thread-2,1,80,79,1,0,0,0
257,30697,30717,Thread-2,1,74,73,1,0,0,0
258,30697,30717,Thread-2,1,148,148,1,0,0,0
258,30697,30714,Thread-7,5,45,40,1,0,0,0
259,30697,30714,Thread-7,2,205,203,1,0,0,0
260,30697,30714,Thread-7,4,143,139,1,0,0,0
261,30697,30713,Thread-6,5,16,11,1,0,0,0
308,30697,30713,Thread-6,5,59,54,1,0,0,0
309,30697,30713,Thread-6,4,98,94,1,0,0,0
310,30697,30713,Thread-6,1,75,74,1,0,0,0
311,30697,30713,Thread-6,1,93,92,1,0,0,0
312,30697,30713,Thread-6,1,133,132,1,0,0,0
313,30697,30716,Thread-8,3,59,56,1,0,0,0
314,30697,30716,Thread-8,5,190,185,1,0,0,0
315,30697,30716,Thread-8,5,205,200,1,0,0,0
316,30697,30718,Thread-4,5,16,11,1,0,0,0
346,30697,30718,Thread-4,9,26,17,1,0,0,0
347,30697,30718,Thread-4,6,61,57,1,0,0,0
348,30697,30718,Thread-4,4,57,53,1,0,0,0
349,30697,30718,Thread-4,2,75,75,1,0,0,0
351,30697,30718,Thread-4,2,48,46,1,0,0,0
352,30697,30718,Thread-4,1,42,41,1,0,0,0
353,30697,30720,Thread-3,5,18,13,1,0,0,0
380,30697,30720,Thread-3,2,50,48,1,0,0,0
381,30697,30720,Thread-3,1,122,121,1,0,0,0
382,30697,30720,Thread-3,2,134,132,1,0,0,0
383,30697,30720,Thread-3,1,152,151,1,0,0,0
384,30697,30718,Thread-4,5,17,12,1,0,0,0
414,30697,30718,Thread-4,3,161,158,1,0,0,0
415,30697,30718,Thread-4,5,72,67,1,0,0,0
416,30697,30718,Thread-4,5,227,222,1,0,0,0
418,30697,30715,Thread-9,5,12,7,1,0,0,0
447,30697,30715,Thread-9,1,2,1,1,0,0,0
448,30697,30715,Thread-9,2,20,18,1,0,0,0
449,30697,30715,Thread-9,4,115,111,1,0,0,0
450,30697,30715,Thread-9,5,49,44,1,0,0,0
451,30697,30715,Thread-9,2,121,119,1,0,0,0
452,30697,30715,Thread-9,2,69,67,1,0,0,0
453,30697,30719,Thread-5,7,14,7,1,0,0,0
454,30697,30719,Thread-5,2,6,4,1,0,0,0
462,30697,30719,Thread-5,1,85,84,1,0,0,0
463,30697,30719,Thread-5,5,175,170,1,0,0,0
464,30697,30719,Thread-5,1,208,207,1,0,0,0
465,30697,30716,Thread-8,5,15,10,1,0,0,0
490,30697,30716,Thread-8,7,82,75,1,0,0,0
491,30697,30716,Thread-8,5,13,8,1,0,0,0
492,30697,30716,Thread-8,4,75,71,1,0,0,0
493,30697,30716,Thread-8,7,22,15,1,0,0,0
495,30697,30716,Thread-8,5,110,105,1,0,0,0
496,30697,30717,Thread-2,5,17,12,1,0,0,0
514,30697,30717,Thread-2,2,11,9,1,0,0,0
515,30697,30717,Thread-2,3,157,154,1,0,0,0
516,30697,30717,Thread-2,1,55,54,1,0,0,0
517,30697,30717,Thread-2,1,148,147,1,0,0,0
518,30697,30714,Thread-7,5,15,10,1,0,0,0
537,30697,30714,Thread-7,6,131,125,1,0,0,0
538,30697,30714,Thread-7,5,82,77,1,0,0,0
539,30697,30714,Thread-7,1,60,59,1,0,0,0
540,30697,30714,Thread-7,4,54,50,1,0,0,0
541,30697,30714,Thread-7,2,146,144,1,0,0,0
542,30697,30713,Thread-6,5,14,9,1,0,0,0
564,30697,30713,Thread-6,2,185,183,1,0,0,0
565,30697,30713,Thread-6,5,77,72,1,0,0,0
566,30697,30713,Thread-6,2,92,90,1,0,0,0
567,30697,30713,Thread-6,1,88,87,1,0,0,0
568,30697,30713,Thread-6,1,32,31,1,0,0,0
569,30697,30714,Thread-7,2,7,5,1,0,0,0
