PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
227,1549482,1549482,sysbench,17,17,0,2,0.322756959,0.110726644,0
228,1549482,1549482,sysbench,7,7,0,1,0,0,0
229,1549482,1549482,sysbench,1,1,0,1,0,0,0
232,1549482,1549483,sysbench,2,2,0,1,0,0,0
232,1549482,1549492,sysbench,2,2,0,1,0,0,0
232,1549482,1549494,sysbench,2,2,0,1,0,0,0
232,1549482,1549500,sysbench,2,2,0,1,0,0,0
232,1549482,1549489,sysbench,2,2,0,1,0,0,0
232,1549482,1549490,sysbench,2,2,0,1,0,0,0
232,1549482,1549488,sysbench,2,2,0,1,0,0,0
232,1548868,1548868,mysqld,9,9,0,1,0,0,0
232,1549482,1549484,sysbench,2,2,0,1,0,0,0
232,1549482,1549502,sysbench,2,2,0,1,0,0,0
232,1549482,1549497,sysbench,2,2,0,1,0,0,0
232,1549482,1549504,sysbench,2,2,0,1,0,0,0
232,1549482,1549498,sysbench,2,2,0,1,0,0,0
232,1549482,1549487,sysbench,2,2,0,1,0,0,0
232,1549482,1549486,sysbench,2,2,0,1,0,0,0
232,1549482,1549485,sysbench,2,2,0,1,0,0,0
232,1549482,1549493,sysbench,2,2,0,1,0,0,0
232,1549482,1549491,sysbench,2,2,0,1,0,0,0
232,1549482,1549495,sysbench,2,2,0,1,0,0,0
233,1549482,1549496,sysbench,2,2,0,1,0,0,0
233,1548868,1548868,mysqld,2,2,0,1,0,0,0
233,1549482,1549499,sysbench,2,2,0,1,0,0,0
233,1549482,1549503,sysbench,2,2,0,1,0,0,0
234,1548868,1548868,mysqld,4,4,0,1,0,0,0
234,1549482,1549501,sysbench,2,2,0,1,0,0,0
234,1549482,1549505,sysbench,2,2,0,1,0,0,0
234,1549482,1549506,sysbench,2,2,0,1,0,0,0
314,1548868,1549022,connection,1,1,0,1,0,0,0
409,1548868,1549515,connection,1,1,0,1,0,0,0
412,1548868,1549510,connection,1,1,0,1,0,0,0
429,1548868,1549457,connection,1,1,0,1,0,0,0
503,1548868,1549511,connection,1,1,0,1,0,0,0
537,1548868,1549513,connection,1,1,0,1,0,0,0
567,1548868,1549518,connection,1,1,0,1,0,0,0
616,1548868,1549510,connection,1,1,0,1,0,0,0
651,1548868,1549508,connection,1,1,0,1,0,0,0
730,1548868,1549457,connection,1,1,0,1,0,0,0
732,1548868,1549511,connection,1,1,0,1,0,0,0
747,1548868,1549106,connection,1,1,0,1,0,0,0
826,1548868,1549507,connection,1,1,0,1,0,0,0
898,1548868,1549457,connection,1,1,0,1,0,0,0
927,1548868,1549022,connection,1,1,0,1,0,0,0
940,1548868,1549111,connection,1,1,0,1,0,0,0
1025,1548868,1549515,connection,1,1,0,1,0,0,0
1055,1548868,1549519,connection,1,1,0,1,0,0,0
1058,1548868,1549513,connection,1,1,0,1,0,0,0
1102,1548868,1549513,connection,1,1,0,1,0,0,0
1120,1548868,1549510,connection,1,1,0,1,0,0,0
1194,1548868,1549117,connection,1,1,0,1,0,0,0
1280,1548868,1549111,connection,1,1,0,1,0,0,0
1312,1548868,1549022,connection,1,1,0,1,0,0,0
1431,1548868,1549511,connection,1,1,0,1,0,0,0
1441,1548868,1549516,connection,1,1,0,1,0,0,0
1479,1548868,1549512,connection,1,1,0,1,0,0,0
1638,1548868,1549509,connection,1,1,0,1,0,0,0
