PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
230,10185,10185,sh,3,7,4,2,0.9182958340544896,0.4444444444444444,0
231,10185,10185,sh,9,20,11,3,1.3921472236645345,0.5925925925925926,0
231,10199,10199,sh,5,16,11,3,1.3709505944546687,0.5599999999999999,0
232,10199,10199,sysbench,12,26,14,2,0.9182958340544896,0.4444444444444444,0
233,10199,10199,sysbench,1,3,2,1,0.0,0.0,0
236,10199,10199,sysbench,3,3,0,3,1.584962500721156,0.6666666666666667,0
236,10168,10168,docker,1,1,0,1,0.0,0.0,0
891,1563,1563,gsd-color,1,1,0,1,0.0,0.0,0
1163,10168,10168,docker,1,1,0,1,0.0,0.0,0
1452,582,582,systemd-timesyn,1,1,0,1,0.0,0.0,0
