PRINT_TYPE,TGID,TID,PROCESS_NAME,KMALLOC_TOTAL_COUNT,KMALLOC_COUNT,KFREE_COUNT,KMALLOC_KIND,KMALLOC_TOP_ENTROPY,KMALLOC_TOP_GINI,DANGER
47,9460,9473,httpd,1,2,1,1,0,0,0
55,9597,9597,httpd,8,8,0,5,2.155639062,0.75,0
55,9436,9436,httpd,2,2,0,2,1,0.5,0
94,9459,9541,httpd,1,1,0,1,0,0,0
94,9460,9522,httpd,1,1,0,1,0,0,0
94,9458,9540,httpd,1,1,0,1,0,0,0
96,9597,9611,httpd,1,1,0,1,0,0,0
104,9459,9541,httpd,1,1,0,1,0,0,0
104,9458,9540,httpd,1,1,0,1,0,0,0
106,9460,9503,httpd,1,1,0,1,0,0,0
114,9597,9624,httpd,1,1,0,1,0,0,0
134,9460,9492,httpd,1,1,0,1,0,0,0
147,9625,9625,httpd,8,8,0,5,2.155639062,0.75,0
147,9625,9627,httpd,7,7,0,1,0,0,0
147,9626,9630,httpd,6,6,0,1,0,0,0
147,9626,9626,httpd,8,8,0,5,2.155639062,0.75,0
147,9436,9436,httpd,4,4,0,2,1,0.5,0
155,9625,9641,httpd,1,1,0,1,0,0,0
155,9626,9661,httpd,1,1,0,1,0,0,0
174,9597,9624,httpd,2,2,0,1,0,0,0
175,9625,9680,httpd,1,1,0,1,0,0,0
175,9626,9669,httpd,1,1,0,1,0,0,0
182,9460,9480,httpd,22,22,0,1,0,0,0
184,9460,9539,httpd,6,6,0,1,0,0,0
184,9597,9624,httpd,84,84,0,1,0,0,0
185,9626,9644,httpd,5,5,0,1,0,0,0
185,9597,9624,httpd,34,34,0,1,0,0,0
187,9597,9605,httpd,165,165,0,1,0,0,0
188,9460,9539,httpd,71,71,0,1,0,0,0
189,9460,9539,httpd,38,38,0,1,0,0,0
189,9597,9607,httpd,30,30,0,1,0,0,0
190,9626,9670,httpd,31,31,0,1,0,0,0
190,9458,9540,httpd,71,71,0,1,0,0,0
191,9626,9652,httpd,35,35,0,1,0,0,0
192,9626,9654,httpd,1,1,0,1,0,0,0
193,9597,9609,httpd,2,2,0,1,0,0,0
193,9597,9607,httpd,108,108,0,1,0,0,0
194,9597,9611,httpd,24,24,0,1,0,0,0
194,9626,9637,httpd,28,28,0,1,0,0,0
195,9597,9611,httpd,2,2,0,1,0,0,0
196,9626,9678,httpd,1,1,0,1,0,0,0
196,9626,9631,httpd,61,61,0,1,0,0,0
196,9458,9540,httpd,49,49,0,1,0,0,0
199,9626,9644,httpd,40,40,0,1,0,0,0
199,9597,9609,httpd,1,1,0,1,0,0,0
200,9459,9493,httpd,1,1,0,1,0,0,0
206,9626,9678,httpd,1,1,0,1,0,0,0
210,9458,9488,httpd,1,1,0,1,0,0,0
212,9626,9637,httpd,31,31,0,1,0,0,0
212,9460,9539,httpd,46,46,0,1,0,0,0
213,9459,9541,httpd,84,84,0,1,0,0,0
214,9458,9540,httpd,31,31,0,1,0,0,0
218,9459,9515,httpd,1,1,0,1,0,0,0
220,9626,9665,httpd,327,327,0,1,0,0,0
222,9625,9655,httpd,1,1,0,1,0,0,0
224,9597,9607,httpd,1,1,0,1,0,0,0
241,9436,9436,httpd,384,384,0,1,0,0,0
242,9681,9681,httpd,8,8,0,5,2.155639062,0.75,0
242,9683,9684,httpd,4,4,0,1,0,0,0
242,9683,9683,httpd,8,8,0,5,2.155639062,0.75,0
242,9436,9436,httpd,8,8,0,2,1,0.5,0
242,9681,9687,httpd,4,4,0,1,0,0,0
243,9682,9682,httpd,8,8,0,5,2.155639062,0.75,0
243,9694,9694,httpd,3,3,0,1,0,0,0
244,9458,9533,httpd,139,139,0,1,0,0,0
244,9694,9699,httpd,3,3,0,1,0,0,0
244,9694,9694,httpd,5,5,0,4,1.921928095,0.72,0
244,9681,9687,httpd,4,4,0,1,0,0,0
245,9694,9699,httpd,2,2,0,1,0,0,0
247,9682,9695,httpd,4,4,0,1,0,0,0
247,9626,9654,httpd,115,115,0,1,0,0,0
248,9682,9695,httpd,17,17,0,1,0,0,0
249,9694,9699,httpd,4,4,0,1,0,0,0
250,9460,9539,httpd,360,360,0,1,0,0,0
257,9682,9751,httpd,1,1,0,1,0,0,0
257,9694,9778,httpd,1,1,0,1,0,0,0
259,9694,9779,httpd,384,384,0,1,0,0,0
336,9795,9795,httpd,8,8,0,5,2.155639062,0.75,0
336,9795,9813,httpd,23,23,0,1,0,0,0
336,9793,9793,httpd,8,8,0,5,2.155639062,0.75,0
336,9836,9836,httpd,8,8,0,5,2.155639062,0.75,0
336,9794,9794,httpd,8,8,0,5,2.155639062,0.75,0
336,9436,9436,httpd,12,12,0,2,1,0.5,0
336,9817,9817,httpd,1,1,0,1,0,0,0
337,9800,9800,httpd,8,8,0,5,2.155639062,0.75,0
337,9836,9876,httpd,21,21,0,1,0,0,0
337,9800,9927,httpd,5,5,0,1,0,0,0
337,9817,9817,httpd,7,7,0,5,2.235926351,0.775510204,0
338,9800,9927,httpd,5,5,0,1,0,0,0
339,9836,9907,httpd,1,1,0,1,0,0,0
339,9800,9927,httpd,2,2,0,1,0,0,0
340,9800,9927,httpd,14,14,0,1,0,0,0
345,9795,9860,httpd,1,1,0,1,0,0,0
363,9794,9847,httpd,1,1,0,1,0,0,0
2153,9836,9893,httpd,131,218,87,1,0,0,0
2154,9795,9829,httpd,38,38,0,1,0,0,0
2176,9625,9629,httpd,10,10,0,1,0,0,0
